countryName,reportingYear,pollutant,emissions
Austria,2015,Diuron,32.51
Austria,2015,Fluoranthene,6.48
Austria,2015,Fluorides (as total F),143120
Austria,2015,Halogenated organic compounds (as AOX),30160
Austria,2015,Lead and compounds (as Pb),1216.8
Austria,2015,Mercury and compounds (as Hg),4
Austria,2015,Nickel and compounds (as Ni),4528.9
Austria,2015,Nonylphenol and Nonylphenol ethoxylates,149.58
Austria,2015,Pentachlorophenol (PCP),1.02
Austria,2015,Phenols (as total C),20.8
Austria,2015,Total nitrogen,5219800
Austria,2015,Total organic carbon(as total C or COD/3) (TOC),14222400
Austria,2015,Total phosphorus,356250
Austria,2015,Trichloromethane,67.3
Austria,2015,Zinc and compounds (as Zn),39232
Austria,2016,Arsenic and compounds (as As),18.08
Austria,2016,Cadmium and compounds (as Cd),28.5
Austria,2016,"Chloro-alkanes, C10-C13",18.6
Austria,2016,Chromium and compounds (as Cr),868
Austria,2016,Copper and compounds (as Cu),4679.8
Austria,2016,Cyanides (as total CN),2176
Austria,2016,Di-(2-ethyl hexyl) phthalate (DEHP),11.6
Austria,2016,Dichloromethane (DCM),13
Austria,2016,Diuron,5.56
Austria,2016,Fluoranthene,2.67
Austria,2016,Fluorides (as total F),119300
Austria,2016,Halogenated organic compounds (as AOX),39260
Austria,2016,Lead and compounds (as Pb),1039.5
Austria,2016,Mercury and compounds (as Hg),5.29
Austria,2016,Nickel and compounds (as Ni),6293.1
Austria,2016,Nonylphenol and Nonylphenol ethoxylates,81.48
Austria,2016,Pentachlorophenol (PCP),4.97
Austria,2016,Phenols (as total C),2841
Austria,2016,Total nitrogen,5061500
Austria,2016,Total organic carbon(as total C or COD/3) (TOC),16109000
Austria,2016,Total phosphorus,351370
Austria,2016,Trichloromethane,74.3
Austria,2016,Zinc and compounds (as Zn),68882
Austria,2017,Arsenic and compounds (as As),26.1
Austria,2017,Cadmium and compounds (as Cd),15.5
Austria,2017,Chlorides (as total Cl),22700000
Austria,2017,"Chloro-alkanes, C10-C13",19
Austria,2017,Chromium and compounds (as Cr),403
Austria,2017,Copper and compounds (as Cu),6423.9
Austria,2017,Cyanides (as total CN),342
Austria,2017,Di-(2-ethyl hexyl) phthalate (DEHP),15.76
Austria,2017,Diuron,3.67
Austria,2017,Fluoranthene,3.28
Austria,2017,Fluorides (as total F),32760
Austria,2017,Halogenated organic compounds (as AOX),50460
Austria,2017,Isoproturon,1.1
Austria,2017,Lead and compounds (as Pb),1088.8
