reportingYear,countryName,Total,Nitrogen,Phosphorus,TOC,"Heavy metals (Cd, Hg, Ni, Pb)"
2017,SI,1470297.3,572700,108170,789000,427.3
2017,SK,4769138.58,1728400,100390,2939900,448.58
2018,AT,20462667.23,5352800,339050,14764700,6117.23
2018,BE,22165928.49,10134400,666670,11358400,6458.49
2018,BG,7774850.2621,2333124.585,258487.198,5175048.5953,8189.8838
2018,CY,855050.7,668000,121010,65800,240.7
2018,CZ,20851307.82726,4691096.141,477391.06,15677356.31746,5464.3088
2018,DE,90472917.93,34253000,1278410,54912400,29107.93
2018,DK,5434465.53142,1700518.868716,190858.939335,3542489.406269,598.3171
2018,EE,0,0,0,0,0
2018,EL,6674445.76,3204900,644000,2822000,3545.76
2018,ES,103944034.33,63712300,5063330,35142300,26104.33
2018,EU,671896247.28498,262871249.979716,19794754.929935,388979852.938029,250389.4373
2018,FI,33420961.45,7858200,136060,25420200,6501.45
2018,FR,100964969.36,40424800,2971840,57555800,12529.36
2018,HR,5440667.92,4105900,417200,916000,1567.92
2018,HU,5973776.27,2109400,133100,3728900,2376.27
2018,IE,14470159.151,5779137.485,858165.954,7830313.419,2542.293
2018,IT,56980544.8332,24821661.9,2642982.7786,29434282.2,81617.9546
2018,LT,179570,153000,26570,0,0
2018,LU,396200,173600,10800,211800,0
2018,LV,1942295.7,517000,54800,1370000,495.7
2018,MT,2509231.9,1300200,165300,1043700,31.9
2018,NL,19382233.67,7049100,754070,11574000,5063.67
2018,PL,28317744.02,12029900,388290,15875600,23954.02
2018,PT,34290242.74,13262500,1159620,19853900,14222.74
2018,RO,21736110,7423600,592850,13713400,6260
2018,SE,65582527.69,9260700,328930,55985900,6997.69
2018,SI,1673344.52,552411,114969,1005563,401.52
2018,SK,0,0,0,0,0
2019,AT,23015472.48,5650600,351450,17006700,6722.48
2019,BE,14746577.984,3951200,715250,10074900,5227.984
2019,BG,6458929,2322059,245571,3882340,8959
2019,CY,975815.5,774600,148580,52400,235.5
2019,CZ,9550980.67981,3772000.74,219470.8,5555899.92,3609.21981
2019,DE,86577664.25,33174800,1307720,52068500,26644.25
2019,DK,6505546.149725,1935735.859327,199529.283975,4369670.707023,610.2994
2019,EE,0,0,0,0,0
2019,EL,7640905.76,3467700,851700,3318000,3505.76
2019,ES,100696049.92,59630900,5021940,36019700,23509.92
2019,EU,611310650.631925,253916160.978327,20872352.962575,336281040.594023,241096.097
2019,FI,35472929.96,7982600,116160,27366500,7669.96
